model_name,batch_size,input_shape,total_parameters,trainable_parameters,model_size_mb,device,execution_time_ms,execution_time_std,timing_cv,peak_memory_mb,gpu_name,tflops_fp32,memory_bandwidth_gbps,sm_count,weight_memory_mb,activation_memory_mb,gpu_utilization_percent,memory_utilization_percent,memory_used_mb,memory_total_mb,flops,compute_memory_ratio,memory_read_write_ratio,num_conv_layers,num_fc_layers,num_bn_layers,avg_conv_kernel_size,max_conv_channels,total_conv_params,max_fc_size,total_fc_params,model_depth
convnext_small,32,"(32, 3, 224, 224)",50223688,50223688.0,191.58816528320312,cuda,218.03619384765625,1.3855782368984702,0.0063548084033542,588.72119140625,NVIDIA GeForce RTX 3060 Laptop GPU,12.74,360.0,28.0,,,,,,,17395499520.0,86.59011421064896,0.5,40,73,0,6.55,768,2231136,3072,47948872,382
convnext_small,64,"(64, 3, 224, 224)",50223688,50223688.0,191.58816528320312,cuda,427.8958129882813,1.0635201016315543,0.0024854650813343,972.59619140625,NVIDIA GeForce RTX 3060 Laptop GPU,12.74,360.0,28.0,,,,,,,17395499520.0,86.59011421064896,0.5,40,73,0,6.55,768,2231136,3072,47948872,382
convnext_small,128,"(128, 3, 224, 224)",50223688,50223688.0,191.58816528320312,cuda,848.4669189453125,3.016786703724591,0.0035555737487969,1745.34619140625,NVIDIA GeForce RTX 3060 Laptop GPU,12.74,360.0,28.0,,,,,,,17395499520.0,86.59011421064896,0.5,40,73,0,6.55,768,2231136,3072,47948872,382
convnext_tiny,1,"(3, 224, 224)",28589128,28589128.0,109.05886840820312,cuda,5.801488161087036,2.529305013486532,0.4359752089154716,1163.6845703125,RTX Baseline,12.74,360.0,28.0,109.05886840820312,1054.6257019042969,99.0,62.0,2864.80078125,6144.0,8928299520.0,78.07425536028941,0.5,22,37,0,6.181818181818182,768,1885536,3072,26680648,202
convnext_tiny,2,"(3, 224, 224)",28589128,28589128.0,109.05886840820312,cuda,7.254528045654297,1.180763217412243,0.1627622375733728,1175.2265625,RTX Baseline,12.74,360.0,28.0,109.05886840820312,1066.1676940917969,83.0,30.0,2867.98828125,6144.0,8928299520.0,78.07425536028941,0.5,22,37,0,6.181818181818182,768,1885536,3072,26680648,202
convnext_tiny,4,"(3, 224, 224)",28589128,28589128.0,109.05886840820312,cuda,11.769232273101808,0.8460919314030961,0.0718901549139208,1198.578125,RTX Baseline,12.74,360.0,28.0,109.05886840820312,1089.5192565917969,99.0,43.0,2867.98828125,6144.0,8928299520.0,78.07425536028941,0.5,22,37,0,6.181818181818182,768,1885536,3072,26680648,202
convnext_tiny,8,"(3, 224, 224)",28589128,28589128.0,109.05886840820312,cuda,21.31908798217773,0.578331065951706,0.0271273830479075,1246.8125,RTX Baseline,12.74,360.0,28.0,109.05886840820312,1137.7536315917969,99.0,48.0,2859.73828125,6144.0,8928299520.0,78.07425536028941,0.5,22,37,0,6.181818181818182,768,1885536,3072,26680648,202
convnext_tiny,1,"(3, 224, 224)",28589128,28589128.0,109.05886840820312,cuda,16.736655235290527,0.690547687062659,0.0412595992038675,1160.5751953125,RTX Baseline,12.74,360.0,28.0,109.05886840820312,1051.5163269042969,99.0,8.0,6002.828125,6144.0,8928299520.0,78.07425536028941,0.5,22,37,0,6.181818181818182,768,1885536,3072,26680648,202
convnext_tiny,2,"(3, 224, 224)",28589128,28589128.0,109.05886840820312,cuda,31.93443202972412,1.097583415316257,0.034369905632274,1172.6337890625,RTX Baseline,12.74,360.0,28.0,109.05886840820312,1063.5749206542969,100.0,9.0,6002.828125,6144.0,8928299520.0,78.07425536028941,0.5,22,37,0,6.181818181818182,768,1885536,3072,26680648,202
convnext_tiny,4,"(3, 224, 224)",28589128,28589128.0,109.05886840820312,cuda,60.15590286254883,2.289430081815353,0.0380582781212419,1196.7509765625,RTX Baseline,12.74,360.0,28.0,109.05886840820312,1087.6921081542969,100.0,10.0,6002.828125,6144.0,8928299520.0,78.07425536028941,0.5,22,37,0,6.181818181818182,768,1885536,3072,26680648,202
convnext_tiny,8,"(3, 224, 224)",28589128,28589128.0,109.05886840820312,cuda,127.03436660766602,3.106600241034507,0.0244548016727198,1244.9853515625,RTX Baseline,12.74,360.0,28.0,109.05886840820312,1135.9264831542969,99.0,12.0,6003.203125,6144.0,8928299520.0,78.07425536028941,0.5,22,37,0,6.181818181818182,768,1885536,3072,26680648,202
convnext_tiny,16,"(3, 224, 224)",28589128,28589128.0,109.05886840820312,cuda,249.3957138061524,3.918873658826485,0.0157134763825844,1341.4541015625,RTX Baseline,12.74,360.0,28.0,109.05886840820312,1232.3952331542969,100.0,12.0,6003.203125,6144.0,8928299520.0,78.07425536028941,0.5,22,37,0,6.181818181818182,768,1885536,3072,26680648,202
convnext_tiny,32,"(3, 224, 224)",28589128,28589128.0,109.05886840820312,cuda,494.4327545166016,5.9161017311915245,0.0119654324620213,1534.3916015625,RTX Baseline,12.74,360.0,28.0,109.05886840820312,1425.3327331542969,100.0,13.0,6003.203125,6144.0,8928299520.0,78.07425536028941,0.5,22,37,0,6.181818181818182,768,1885536,3072,26680648,202
convnext_tiny,64,"(3, 224, 224)",28589128,28589128.0,109.05886840820312,cuda,865.833984375,8.661789943116224,0.0100039847123334,1920.2666015625,RTX Baseline,12.74,360.0,28.0,109.05886840820312,1811.2077331542969,100.0,8.0,6012.453125,6144.0,8928299520.0,78.07425536028941,0.5,22,37,0,6.181818181818182,768,1885536,3072,26680648,202
convnext_tiny,1,"(3, 224, 224)",28589128,28589128.0,109.05886840820312,cuda,6.860288143157959,2.235898805855824,0.3259190807837796,1164.4423828125,RTX Baseline,12.74,360.0,28.0,109.05886840820312,1055.3835144042969,36.0,4.0,1626.43359375,6144.0,8928299520.0,78.07425536028941,0.5,22,37,0,6.181818181818182,768,1885536,3072,26680648,202
convnext_tiny,1,"(3, 224, 224)",28589128,28589128.0,109.05886840820312,cuda,5.986815929412842,0.4705738214729039,0.0786016852601736,1160.5751953125,RTX Baseline,12.74,360.0,28.0,109.05886840820312,1051.5163269042969,94.0,21.0,5966.74609375,6144.0,8928299520.0,78.07425536028941,0.5,22,37,0,6.181818181818182,768,1885536,3072,26680648,202
